Id,Title,Score
48,sector,0.43128486643815966
48,pakistans,0.3862331877594748
48,invest,0.3862331877594748
48,china,0.3862331877594748
48,and,0.3542685130426102
48,gas,0.3542685130426102
48,oil,0.11648338376524682
48,to,0.11648338376524682
48,in,0.07816777417727688
49,sector,0.43128486643815966
49,pakistans,0.3862331877594748
49,invest,0.3862331877594748
49,china,0.3862331877594748
49,and,0.3542685130426102
49,gas,0.3542685130426102
49,oil,0.11648338376524682
49,to,0.11648338376524682
49,in,0.07816777417727688
50,sector,0.43128486643815966
50,pakistans,0.3862331877594748
50,invest,0.3862331877594748
50,china,0.3862331877594748
50,and,0.3542685130426102
50,gas,0.3542685130426102
50,oil,0.11648338376524682
50,to,0.11648338376524682
50,in,0.07816777417727688
51,sector,0.43128486643815966
51,pakistans,0.3862331877594748
51,invest,0.3862331877594748
51,china,0.3862331877594748
51,and,0.3542685130426102
51,gas,0.3542685130426102
51,oil,0.11648338376524682
51,to,0.11648338376524682
51,in,0.07816777417727688
52,sector,0.43128486643815966
52,pakistans,0.3862331877594748
52,invest,0.3862331877594748
52,china,0.3862331877594748
52,and,0.3542685130426102
52,gas,0.3542685130426102
52,oil,0.11648338376524682
52,to,0.11648338376524682
52,in,0.07816777417727688
53,sector,0.43128486643815966
53,pakistans,0.3862331877594748
53,invest,0.3862331877594748
53,china,0.3862331877594748
53,and,0.3542685130426102
53,gas,0.3542685130426102
53,oil,0.11648338376524682
53,to,0.11648338376524682
53,in,0.07816777417727688
54,sector,0.43128486643815966
54,pakistans,0.3862331877594748
54,invest,0.3862331877594748
54,china,0.3862331877594748
54,and,0.3542685130426102
54,gas,0.3542685130426102
54,oil,0.11648338376524682
54,to,0.11648338376524682
54,in,0.07816777417727688
55,sector,0.43128486643815966
55,pakistans,0.3862331877594748
55,invest,0.3862331877594748
55,china,0.3862331877594748
55,and,0.3542685130426102
55,gas,0.3542685130426102
55,oil,0.11648338376524682
55,to,0.11648338376524682
55,in,0.07816777417727688
56,sector,0.43128486643815966
56,pakistans,0.3862331877594748
56,invest,0.3862331877594748
56,china,0.3862331877594748
56,and,0.3542685130426102
56,gas,0.3542685130426102
56,oil,0.11648338376524682
56,to,0.11648338376524682
56,in,0.07816777417727688
57,sector,0.43128486643815966
57,pakistans,0.3862331877594748
57,invest,0.3862331877594748
57,china,0.3862331877594748
57,and,0.3542685130426102
57,gas,0.3542685130426102
57,oil,0.11648338376524682
57,to,0.11648338376524682
57,in,0.07816777417727688
58,sector,0.43128486643815966
58,pakistans,0.3862331877594748
58,invest,0.3862331877594748
58,china,0.3862331877594748
58,and,0.3542685130426102
58,gas,0.3542685130426102
58,oil,0.11648338376524682
58,to,0.11648338376524682
58,in,0.07816777417727688
59,sector,0.43128486643815966
59,pakistans,0.3862331877594748
59,invest,0.3862331877594748
59,china,0.3862331877594748
59,and,0.3542685130426102
59,gas,0.3542685130426102
59,oil,0.11648338376524682
59,to,0.11648338376524682
59,in,0.07816777417727688
60,sector,0.43128486643815966
60,pakistans,0.3862331877594748
60,invest,0.3862331877594748
60,china,0.3862331877594748
60,and,0.3542685130426102
60,gas,0.3542685130426102
60,oil,0.11648338376524682
60,to,0.11648338376524682
60,in,0.07816777417727688
61,sector,0.43128486643815966
61,pakistans,0.3862331877594748
61,invest,0.3862331877594748
61,china,0.3862331877594748
61,and,0.3542685130426102
61,gas,0.3542685130426102
61,oil,0.11648338376524682
61,to,0.11648338376524682
61,in,0.07816777417727688
62,sector,0.43128486643815966
62,pakistans,0.3862331877594748
62,invest,0.3862331877594748
62,china,0.3862331877594748
62,and,0.3542685130426102
62,gas,0.3542685130426102
62,oil,0.11648338376524682
62,to,0.11648338376524682
62,in,0.07816777417727688
63,sector,0.43128486643815966
63,pakistans,0.3862331877594748
63,invest,0.3862331877594748
63,china,0.3862331877594748
63,and,0.3542685130426102
63,gas,0.3542685130426102
63,oil,0.11648338376524682
63,to,0.11648338376524682
63,in,0.07816777417727688
64,sector,0.43128486643815966
64,pakistans,0.3862331877594748
64,invest,0.3862331877594748
64,china,0.3862331877594748
64,and,0.3542685130426102
64,gas,0.3542685130426102
64,oil,0.11648338376524682
64,to,0.11648338376524682
64,in,0.07816777417727688
65,sector,0.43128486643815966
65,pakistans,0.3862331877594748
65,invest,0.3862331877594748
65,china,0.3862331877594748
65,and,0.3542685130426102
65,gas,0.3542685130426102
65,oil,0.11648338376524682
65,to,0.11648338376524682
65,in,0.07816777417727688
66,sector,0.43128486643815966
66,pakistans,0.3862331877594748
66,invest,0.3862331877594748
66,china,0.3862331877594748
66,and,0.3542685130426102
66,gas,0.3542685130426102
66,oil,0.11648338376524682
66,to,0.11648338376524682
66,in,0.07816777417727688
67,sector,0.43128486643815966
67,pakistans,0.3862331877594748
67,invest,0.3862331877594748
67,china,0.3862331877594748
67,and,0.3542685130426102
67,gas,0.3542685130426102
67,oil,0.11648338376524682
67,to,0.11648338376524682
67,in,0.07816777417727688
68,sector,0.43128486643815966
68,pakistans,0.3862331877594748
68,invest,0.3862331877594748
68,china,0.3862331877594748
68,and,0.3542685130426102
68,gas,0.3542685130426102
68,oil,0.11648338376524682
68,to,0.11648338376524682
68,in,0.07816777417727688
69,sector,0.43128486643815966
69,pakistans,0.3862331877594748
69,invest,0.3862331877594748
69,china,0.3862331877594748
69,and,0.3542685130426102
69,gas,0.3542685130426102
69,oil,0.11648338376524682
69,to,0.11648338376524682
69,in,0.07816777417727688
70,sector,0.43128486643815966
70,pakistans,0.3862331877594748
70,invest,0.3862331877594748
70,china,0.3862331877594748
70,and,0.3542685130426102
70,gas,0.3542685130426102
70,oil,0.11648338376524682
70,to,0.11648338376524682
70,in,0.07816777417727688
71,sector,0.43128486643815966
71,pakistans,0.3862331877594748
71,invest,0.3862331877594748
71,china,0.3862331877594748
71,and,0.3542685130426102
71,gas,0.3542685130426102
71,oil,0.11648338376524682
71,to,0.11648338376524682
71,in,0.07816777417727688
72,sector,0.43128486643815966
72,pakistans,0.3862331877594748
72,invest,0.3862331877594748
72,china,0.3862331877594748
72,and,0.3542685130426102
72,gas,0.3542685130426102
